Time1,Angle1,Time (s) Run #2,Angle (°) Run #2,Time (s) Run #3,Angle (°) Run #3,Time (s) Run #4,Angle (°) Run #4,Time5,Angle5,Time (s) Run #6,Angle (°) Run #6,Time (s) Run #7,Angle (°) Run #7,Time (s) Run #8,Angle (°) Run #8
4.82,0.18,,,4.82,1.26,4.82,-2.49E-17,,,,,4.82,-0.63,4.82,5.67
5.63,0.18,,,,,5.63,35.19,,,,,,,,
5.32,0.09,,,5.32,1.35,5.32,-2.49E-17,,,,,,,5.32,0.99
5.62,3.24E-15,,,,,5.62,34.38,,,,,,,,
1.24,1.74E-16,1.24,0,1.24,0.09,1.24,-2.49E-17,1.24,-0.09,1.24,0,1.24,0,1.24,0
1.25,1.74E-16,1.25,0,1.25,-2.49E-17,1.25,-2.49E-17,1.25,-0.09,1.25,0,1.25,0,1.25,0
1.26,1.74E-16,1.26,0,1.26,-2.49E-17,1.26,-2.49E-17,1.26,-0.09,1.26,0,1.26,0,1.26,0
1.27,1.74E-16,1.27,0,1.27,-2.49E-17,1.27,-2.49E-17,1.27,-0.09,1.27,0,1.27,0,1.27,0
1.28,1.74E-16,1.28,0,1.28,-2.49E-17,1.28,-2.49E-17,1.28,-0.09,1.28,0,1.28,0,1.28,0
1.29,1.74E-16,1.29,0,1.29,-2.49E-17,1.29,-2.49E-17,1.29,-0.09,1.29,0,1.29,0,1.29,0
1.3,1.74E-16,1.3,0,1.3,-2.49E-17,1.3,-2.49E-17,1.3,-0.09,1.3,0,1.3,0,1.3,0
1.31,1.74E-16,1.31,0,1.31,-2.49E-17,1.31,-2.49E-17,1.31,-0.09,1.31,0,1.31,0,1.31,0
1.32,1.74E-16,1.32,0,1.32,-2.49E-17,1.32,-2.49E-17,1.32,-0.09,1.32,0,1.32,0,1.32,0
1.33,1.74E-16,1.33,0,1.33,-2.49E-17,1.33,-2.49E-17,1.33,-0.09,1.33,0,1.33,0,1.33,0
1.34,1.74E-16,1.34,0,1.34,-2.49E-17,1.34,-2.49E-17,1.34,-0.09,1.34,0,1.34,0,1.34,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0
0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0
0.03,0,0.03,0,0.03,0,0.03,0.09,0.03,0,0.03,0,0.03,0,0.03,0
0.04,0,0.04,0,0.04,0,0.04,0.09,0.04,0,0.04,0,0.04,0,0.04,0
0.05,0,0.05,0,0.05,0,0.05,0.09,0.05,0,0.05,0,0.05,0,0.05,0
0.06,0,0.06,0,0.06,0,0.06,0.09,0.06,0,0.06,0,0.06,0,0.06,0
0.07,0,0.07,0,0.07,0,0.07,0.09,0.07,0,0.07,0,0.07,0,0.07,0
0.08,0,0.08,0,0.08,0,0.08,0.09,0.08,0,0.08,0,0.08,0,0.08,0
0.09,-0.09,0.09,0,0.09,0,0.09,0.09,0.09,0,0.09,0,0.09,0,0.09,0
0.1,-0.09,0.1,0,0.1,0,0.1,0.18,0.1,0,0.1,0,0.1,0,0.1,0
0.11,-0.09,0.11,0,0.11,0,0.11,0.18,0.11,0,0.11,0,0.11,0,0.11,0
0.12,-0.09,0.12,0,0.12,0,0.12,0.18,0.12,0,0.12,0,0.12,0,0.12,0
1.18,-0.09,1.18,0,1.18,0.09,1.18,-2.49E-17,1.18,-0.09,1.18,0,1.18,0,1.18,0
1.19,-0.09,1.19,0,1.19,0.09,1.19,-2.49E-17,1.19,-0.09,1.19,0,1.19,0,1.19,0
1.2,-0.09,1.2,0,1.2,0.09,1.2,-2.49E-17,1.2,-0.09,1.2,0,1.2,0,1.2,0
1.21,-0.09,1.21,0,1.21,0.09,1.21,-2.49E-17,1.21,-0.09,1.21,0,1.21,0,1.21,0
1.22,-0.09,1.22,0,1.22,0.09,1.22,-2.49E-17,1.22,-0.09,1.22,0,1.22,0,1.22,0
1.23,-0.09,1.23,0,1.23,0.09,1.23,-2.49E-17,1.23,-0.09,1.23,0,1.23,0,1.23,0
1.35,-0.09,1.35,0,1.35,-2.49E-17,1.35,-2.49E-17,1.35,-0.09,1.35,0,1.35,0,1.35,0
