Wavelength,Intensity
 419.745,    142.24 
 420.107,    191.61 
 420.469,    180.39 
 420.830,    135.50 
 421.192,    187.12 
 421.554,    164.68 
 421.915,    211.81 
 422.277,    173.66 
 422.638,    144.48 
 423.000,    180.39 
 423.361,    225.28 
 423.723,    115.30 
 424.084,    115.30 
 424.446,    104.08 
 424.807,    187.12 
 425.168,     88.37 
 425.529,     79.39 
 425.891,    137.75 
 426.252,    133.26 
 426.613,    119.79 
 426.974,    139.99 
 427.335,    175.90 
 427.696,    148.97 
 428.057,    142.24 
 428.418,    110.81 
 428.778,     97.35 
 429.139,    200.59 
 429.500,     92.86 
 429.861,    101.84 
 430.221,     56.95 
 430.582,     88.37 
 430.943,    151.21 
 431.303,     47.97 
 431.664,    162.43 
 432.024,    106.33 
 432.385,    227.52 
 432.745,    133.26 
 433.105,    144.48 
 433.466,    157.95 
 433.826,    169.17 
 434.186,    151.21 
 434.546,    169.17 
 434.907,    393.60 
 435.267,    770.65 
 435.627,    550.71 
 435.987,    193.86 
 436.347,    146.72 
 436.707,    124.28 
 437.067,    232.01 
 437.427,    146.72 
 437.786,    128.77 
 438.146,    151.21 
 438.506,     70.42 
 438.866,    178.15 
 439.225,    124.28 
 439.585,    160.19 
 439.944,    106.33 
 440.304,    115.30 
 440.663,    110.81 
 441.023,    133.26 
 441.382,     54.71 
 441.742,    193.86 
 442.101,    164.68 
 442.460,    124.28 
 442.820,    151.21 
 443.179,    198.34 
 443.538,    101.84 
 443.897,    151.21 
 444.256,    131.01 
 444.615,    144.48 
 444.974,     61.44 
 445.333,     45.73 
 445.692,    133.26 
 446.051,    182.63 
 446.410,    117.55 
 446.768,    173.66 
 447.127,     88.37 
 447.486,    106.33 
 447.845,    187.12 
 448.203,     79.39 
 448.562,    101.84 
 448.920,    128.77 
 449.279,    128.77 
 449.637,     63.68 
 449.996,    169.17 
 450.354,    122.04 
 450.712,     18.80 
 451.071,    180.39 
 451.429,    133.26 
 451.787,    115.30 
 452.145,     72.66 
 452.503,     92.86 
 452.861,     59.19 
 453.219,    180.39 
 453.577,     88.37 
 453.935,      3.09 
 454.293,     90.62 
 454.651,    142.24 
 455.009,    128.77 
 455.367,    126.53 
 455.725,    187.12 
 456.082,    160.19 
 456.440,    207.32 
 456.798,    180.39 
 457.155,    124.28 
 457.513,    135.50 
 457.870,    200.59 
 458.228,    160.19 
 458.585,    175.90 
 458.942,    171.41 
 459.300,     86.13 
 459.657,    101.84 
 460.014,     99.59 
 460.371,     90.62 
 460.729,    108.57 
 461.086,    108.57 
 461.443,    117.55 
 461.800,     59.19 
 462.157,    104.08 
 462.514,     97.35 
 462.871,    151.21 
 463.227,     99.59 
 463.584,    182.63 
 463.941,    117.55 
 464.298,    238.74 
 464.655,    247.72 
 465.011,    166.92 
 465.368,     86.13 
 465.724,     83.88 
 466.081,    131.01 
 466.437,    128.77 
 466.794,    110.81 
 467.150,    117.55 
 467.507,    106.33 
 467.863,    139.99 
 468.219,     86.13 
 468.575,    122.04 
 468.932,    164.68 
 469.288,    115.30 
 469.644,    113.06 
 470.000,     88.37 
 470.356,    113.06 
 470.712,    142.24 
 471.068,     56.95 
 471.424,      3.09 
 471.780,    106.33 
 472.135,    151.21 
 472.491,    108.57 
 472.847,     90.62 
 473.203,    178.15 
 473.558,    133.26 
