Wavelength,Intensity
 362.807,    170.71 
 363.175,    163.98 
 363.543,    163.98 
 363.911,    181.93 
 364.279,    159.49 
 364.646,    217.84 
 365.014,    215.60 
 365.382,    238.04 
 365.750,    128.07 
 366.118,    175.20 
 366.485,    155.00 
 366.853,    170.71 
 367.221,    197.64 
 367.588,    208.86 
 367.956,    161.73 
 368.323,    184.18 
 368.691,    134.80 
 369.058,    215.60 
 369.426,    161.73 
 369.793,    170.71 
 370.160,    206.62 
 370.528,    179.69 
 370.895,    123.58 
 371.262,    186.42 
 371.629,    132.56 
 371.996,    197.64 
 372.363,    193.15 
 372.730,    161.73 
 373.097,    130.31 
 373.464,    110.11 
 373.831,    179.69 
 374.198,    155.00 
 374.565,    195.40 
 374.932,    197.64 
 375.299,    206.62 
 375.665,    150.51 
 376.032,    172.96 
 376.399,    202.13 
 376.765,    206.62 
 377.132,    231.31 
 377.498,    235.80 
 377.865,    128.07 
 378.231,    166.22 
 378.598,    134.80 
 378.964,    217.84 
 379.331,    190.91 
 379.697,    146.02 
 380.063,    175.20 
 380.429,    211.11 
 380.795,    195.40 
 381.162,    199.89 
 381.528,    215.60 
 381.894,    222.33 
 382.260,    170.71 
 382.626,    128.07 
 382.992,    119.09 
 383.358,    181.93 
 383.723,    163.98 
 384.089,    143.78 
 384.455,    220.09 
 384.821,    303.13 
 385.186,    181.93 
 385.552,    123.58 
 385.918,    190.91 
 386.283,    215.60 
 386.649,    208.86 
 387.014,     76.45 
 387.380,    110.11 
 387.745,    116.85 
 388.111,    233.55 
 388.476,     69.72 
 388.841,     76.45 
 389.206,    177.44 
 389.572,    229.06 
 389.937,    262.73 
 390.302,    217.84 
 390.667,    238.04 
 391.032,    166.22 
 391.397,     76.45 
 391.762,    181.93 
 392.127,    199.89 
 392.492,    163.98 
 392.857,    125.82 
 393.222,    157.24 
 393.587,    199.89 
 393.951,    190.91 
 394.316,    190.91 
 394.681,    121.34 
 395.045,    130.31 
 395.410,    146.02 
 395.774,    150.51 
 396.139,    273.95 
 396.503,    170.71 
 396.868,    146.02 
 397.232,    139.29 
 397.596,    251.51 
 397.961,    325.57 
 398.325,    502.87 
 398.689,    334.55 
 399.053,    247.02 
 399.418,    170.71 
 399.782,    188.67 
 400.146,     92.16 
 400.510,    211.11 
 400.874,    146.02 
 401.238,    137.05 
 401.602,    114.60 
 401.965,     92.16 
 402.329,    148.27 
 402.693,     78.69 
 403.057,    150.51 
 403.420,    188.67 
 403.784,    163.98 
 404.148,    179.69 
 404.511,    152.76 
 404.875,    110.11 
 405.238,    181.93 
 405.602,    186.42 
 405.965,     92.16 
 406.329,    157.24 
 406.692,    175.20 
 407.055,    197.64 
 407.418,    170.71 
 407.782,    184.18 
 408.145,    256.00 
 408.508,    177.44 
 408.871,     58.49 
 409.234,     89.91 
 409.597,    175.20 
 409.960,     96.65 
 410.323,    184.18 
 410.686,    440.03 
 411.049,    976.43 
 411.412,   1402.86 
 411.774,    774.44 
 412.137,    356.99 
 412.500,    208.86 
 412.862,    193.15 
 413.225,    197.64 
 413.588,    101.14 
