Wavelength,Intensity
 391.762,    -35.49 
 392.127,    -57.93 
 392.492,    -48.95 
 392.857,     36.33 
 393.222,    -10.80 
 393.587,    -48.95 
 393.951,    -24.27 
 394.316,     22.86 
 394.681,    -39.98 
 395.045,     31.84 
 395.410,      0.42 
 395.774,     18.38 
 396.139,      2.67 
 396.503,    -60.18 
 396.868,     -4.07 
 397.232,    -22.02 
 397.596,    -64.67 
 397.961,     47.55 
 398.325,    -13.05 
 398.689,    -22.02 
 399.053,      7.15 
 399.418,      9.40 
 399.782,    -15.29 
 400.146,     16.13 
 400.510,      4.91 
 400.874,     27.35 
 401.238,     -8.56 
 401.602,    -13.05 
 401.965,    -39.98 
 402.329,     29.60 
 402.693,    -48.95 
 403.057,     -1.82 
 403.420,    -33.24 
 403.784,    -13.05 
 404.148,    -42.22 
 404.511,     40.82 
 404.875,     20.62 
 405.238,    -24.27 
 405.602,     25.11 
 405.965,     49.80 
 406.329,     18.38 
 406.692,     18.38 
 407.055,     11.64 
 407.418,     29.60 
 407.782,     72.24 
 408.145,    -22.02 
 408.508,     38.57 
 408.871,    -53.44 
 409.234,      4.91 
 409.597,    -39.98 
 409.960,    -13.05 
 410.323,     58.77 
 410.686,    -35.49 
 411.049,     43.06 
 411.412,      4.91 
 411.774,    -42.22 
 412.137,    -28.76 
 412.500,    -35.49 
 412.862,    -17.53 
 413.225,     27.35 
 413.588,      4.91 
 413.950,     38.57 
 414.313,     85.71 
 414.675,    -26.51 
 415.037,     13.89 
 415.400,    -10.80 
 415.762,    -15.29 
 416.124,    -39.98 
 416.487,    -53.44 
 416.849,     18.38 
 417.211,    -28.76 
 417.573,     -6.31 
 417.935,     18.38 
 418.297,    -37.73 
 418.659,    -84.86 
 419.021,    -44.47 
 419.383,    -13.05 
 419.745,      2.67 
 420.107,    -42.22 
 420.469,    -37.73 
 420.830,     49.80 
 421.192,    -37.73 
 421.554,    -17.53 
 421.915,    -13.05 
 422.277,     -4.07 
 422.638,    -57.93 
 423.000,      7.15 
 423.361,     11.64 
 423.723,     54.29 
 424.084,    -53.44 
 424.446,    -53.44 
 424.807,    -78.13 
 425.168,    -44.47 
 425.529,     58.77 
 425.891,     -1.82 
 426.252,     -8.56 
 426.613,     34.09 
 426.974,      9.40 
 427.335,    -19.78 
 427.696,     -1.82 
 428.057,      7.15 
 428.418,    -28.76 
 428.778,     76.73 
 429.139,     31.84 
 429.500,     25.11 
 429.861,     63.26 
 430.221,     47.55 
 430.582,     31.84 
 430.943,     49.80 
 431.303,    -17.53 
 431.664,    -24.27 
 432.024,    -48.95 
 432.385,    -10.80 
 432.745,     27.35 
 433.105,     -4.07 
 433.466,    -44.47 
 433.826,    -24.27 
 434.186,    -35.49 
 434.546,     22.86 
 434.907,     -1.82 
 435.267,      0.42 
 435.627,     54.29 
 435.987,     13.89 
 436.347,     13.89 
 436.707,    -35.49 
 437.067,     -1.82 
 437.427,     54.29 
 437.786,     11.64 
 438.146,     -1.82 
 438.506,      2.67 
 438.866,    -51.20 
 439.225,     29.60 
 439.585,     25.11 
 439.944,    -15.29 
 440.304,    -48.95 
 440.663,    -46.71 
 441.023,    -13.05 
 441.382,     -4.07 
 441.742,    -69.15 
 442.101,     -4.07 
 442.460,     27.35 
 442.820,      2.67 
 443.179,     58.77 
 443.538,      0.42 
 443.897,    -71.40 
 444.256,    -75.89 
 444.615,     -6.31 
 444.974,     22.86 
 445.333,    -42.22 
 445.692,    -13.05 
 446.051,     -6.31 
 446.410,     36.33 
 446.768,    -13.05 
 447.127,     -1.82 
 447.486,    -37.73 
 447.845,    -64.67 
 448.203,     36.33 
 448.562,    -28.76 
 448.920,      4.91 
 449.279,    -24.27 
 449.637,    -26.51 
 449.996,     13.89 
 450.354,    -96.09 
 450.712,    -13.05 
 451.071,    -22.02 
 451.429,     18.38 
 451.787,    -37.73 
 452.145,     72.24 
 452.503,    -28.76 
 452.861,     56.53 
 453.219,      2.67 
 453.577,     -8.56 
 453.935,      0.42 
 454.293,    -84.86 
 454.651,     18.38 
 455.009,     11.64 
 455.367,    -15.29 
 455.725,     22.86 
 456.082,    -22.02 
 456.440,     49.80 
 456.798,     47.55 
 457.155,     -6.31 
 457.513,    -98.33 
 457.870,     22.86 
 458.228,    -10.80 
 458.585,    -17.53 
 458.942,    -17.53 
 459.300,    -17.53 
 459.657,    -17.53 
 460.014,    -57.93 
 460.371,     38.57 
 460.729,    -31.00 
 461.086,    -28.76 
 461.443,     22.86 
 461.800,    -28.76 
 462.157,     -8.56 
 462.514,     29.60 
 462.871,     56.53 
 463.227,     -8.56 
 463.584,     -8.56 
 463.941,     49.80 
 464.298,    -66.91 
 464.655,     36.33 
 465.011,     31.84 
 465.368,    105.91 
 465.724,     90.19 
 466.081,     63.26 
 466.437,     74.48 
 466.794,     63.26 
 467.150,     11.64 
 467.507,     22.86 
 467.863,     -4.07 
 468.219,      7.15 
 468.575,    -51.20 
 468.932,      0.42 
 469.288,      4.91 
 469.644,    -33.24 
 470.000,     47.55 
 470.356,    -42.22 
 470.712,     13.89 
 471.068,     -4.07 
 471.424,     11.64 
 471.780,     40.82 
 472.135,     -4.07 
 472.491,      2.67 
 472.847,    -89.35 
 473.203,     -6.31 
 473.558,     47.55 
 473.914,    -33.24 
 474.269,     27.35 
 474.625,     11.64 
 474.980,     31.84 
 475.336,     -1.82 
 475.691,     72.24 
 476.046,     54.29 
 476.402,     70.00 
 476.757,    -62.42 
 477.112,     22.86 
 477.467,    -44.47 
 477.823,    -44.47 
 478.178,    -26.51 
 478.533,    -26.51 
 478.888,     31.84 
 479.243,    -35.49 
 479.598,    -15.29 
 479.952,    -51.20 
 480.307,    -17.53 
 480.662,    -37.73 
 481.017,     27.35 
 481.372,    -13.05 
 481.726,    -13.05 
 482.081,     11.64 
 482.435,    -26.51 
 482.790,     -4.07 
 483.144,     -1.82 
 483.499,     13.89 
 483.853,     18.38 
 484.208,    -15.29 
 484.562,    -71.40 
 484.916,    -64.67 
 485.270,     43.06 
 485.625,     94.68 
 485.979,      4.91 
 486.333,    -26.51 
 486.687,     40.82 
 487.041,     18.38 
 487.395,      7.15 
 487.749,     18.38 
 488.103,     78.97 
 488.457,     22.86 
 488.810,    -31.00 
 489.164,    -15.29 
 489.518,    -10.80 
 489.872,    -19.78 
 490.225,      4.91 
 490.579,     56.53 
 490.932,    -53.44 
 491.286,     16.13 
 491.639,    -75.89 
 491.993,     43.06 
 492.346,     16.13 
