Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
12022.64434617413,0.03426055652108905,9.913051285642556,-12.64550898624297
13182.56738556409,0.03536024996597219,9.889869097511358,-14.58915639474463
14454.39770745928,0.03685317939091131,9.867691777812624,-16.81306679640409
15848.93192461114,0.03943526791838167,9.816757938799546,-19.18326898666884
17378.00828749378,0.04129437335463461,9.800796062572243,-21.91215102028549
19054.60717963248,0.04283181768841376,9.741618212268431,-24.83036871895757
20892.96130854041,0.04482758560997828,9.701879686561654,-28.15141726304528
22908.67652767777,0.04685368940165401,9.637161379031237,-31.75691367268752
25118.86431509582,0.05075045391228169,9.555294895516194,-35.76539400874869
27542.28703338169,0.05153559795551674,9.462080715052464,-40.1487652565137
30199.51720402016,0.05376922448703811,9.347419505387631,-44.92657046327193
33113.11214825914,0.05674653782910449,9.207943190617694,-50.21642198969678
