Time (s),Channel 1 (V),Channel 2 (V)
-0.00245511,-0.08291352561775639,-0.9292082375364937
-0.00245448,-0.0835772709153447,-0.8828200776829737
-0.00245385,-0.0835772709153447,-0.9211987710869621
-0.00245322,-0.08390914356413887,-0.9532366368850888
-0.00245259,-0.08357727091534485,-0.955572731266201
-0.00245196,-0.0835772709153447,-0.9979561578949738
-0.00245133,-0.08424101621293303,-0.9986236134324349
-0.0024507,-0.08457288886172717,-0.9956200635138605
-0.00245007,-0.08490476151052134,-0.9869431415268678
-0.00244944,-0.08523663415931582,-0.9665857476343263
-0.00244881,-0.08590037945690382,-1.006299352113236
-0.00244818,-0.08590037945690382,-1.028992840386909
-0.00244755,-0.08623225210569783,-1.010637813106741
-0.00244692,-0.08590037945690382,-1.007300535419428
-0.00244629,-0.08656412475449216,-0.9816034972271801
-0.00244566,-0.08689599740328614,-0.9689218420154274
-0.00244503,-0.0868959974032863,-0.9762638529274923
-0.0024444,-0.08722787005208062,-0.9635821977157579
-0.00244377,-0.08755974270087463,-1.016644912943881
-0.00244314,-0.08822348799846294,-1.012973907487846
-0.00244251,-0.08822348799846294,-1.020315918399913
-0.00244188,-0.08855536064725711,-0.984940774914485
-0.00244125,-0.08855536064725711,-1.026656746005796
-0.00244062,-0.08855536064725711,-1.044344317748503
-0.00243999,-0.08955097859363959,-1.02966029592437
-0.00243936,-0.08988285124243375,-0.9812697694584586
-0.00243873,-0.08988285124243375,-1.000959707813548
-0.0024381,-0.08988285124243375,-0.9992910689698958
-0.00243747,-0.09054659654002176,-1.001960891119739
-0.00243684,-0.09021472389122792,-1.014308818562768
-0.00243621,-0.09021472389122792,-1.02265201278103
-0.00243558,-0.09021472389122792,-1.036334851298974
-0.00243495,-0.09087846918881623,-0.9979561578949738
-0.00243432,-0.09121034183761025,-0.9488981758915975
-0.00243369,-0.09087846918881623,-0.960244920028429
-0.00243306,-0.09087846918881623,-1.020649646168647
-0.00243243,-0.09154221448640484,-1.086394016608559
-0.0024318,-0.09220595978399287,-1.100744310663964
-0.00243117,-0.09253783243278704,-1.061698161722497
-0.00243054,-0.09286970508158103,-1.037669762373913
-0.00242991,-0.09286970508158118,-1.061030706185036
-0.00242928,-0.09320157773037535,-1.065035439409809
-0.00242865,-0.09320157773037535,-1.081721827846326
-0.00242802,-0.09353345037916952,-1.101411766201424
-0.00242739,-0.094529068325552,-1.095738394133012
-0.00242676,-0.094529068325552,-1.108753777113495
-0.00242613,-0.09552468627193447,-1.069373900403298
-0.0024255,-0.09519281362314046,-1.106751410501095
-0.00242487,-0.09585655892072864,-1.067037806022184
-0.00242424,-0.09585655892072864,-1.063033072797391
-0.00242361,-0.09585655892072864,-1.001293435582279
-0.00242298,-0.0951928136231403,-0.9976224301262434
-0.00242235,-0.09585655892072879,-1.026990473774537
-0.00242172,-0.09618843156952278,-1.051352600891852
-0.00242109,-0.09652030421831695,-1.080386916771404
-0.00242046,-0.09751592216469897,-1.072711178090606
-0.00241983,-0.09751592216469943,-1.065702894947262
-0.0024192,-0.09784779481349359,-1.046346684360894
-0.00241857,-0.09784779481349359,-1.057359700729
-0.00241794,-0.09817966746228776,-0.9992910689698958
-0.00241731,-0.09784779481349375,-1.044678045517233
-0.00241668,-0.09817966746228776,-1.025321834930874
-0.00241605,-0.09817966746228776,-1.012306451950385
-0.00241542,-0.09884341275987577,-1.046012956592149
-0.00241479,-0.09817966746228776,-0.9949526079763995
-0.00241416,-0.09884341275987607,-1.04300940667359
-0.00241353,-0.09817966746228776,-1.035333667992788
-0.0024129,-0.09884341275987607,-1.041007040061207
-0.00241227,-0.09917528540867054,-1.035333667992795
-0.00241164,-0.09983903070625855,-1.05001768981693
-0.00241101,-0.09983903070625855,-1.088730110989666
-0.00241038,-0.1005027760038466,-1.021984557243599
-0.00240975,-0.1005027760038469,-1.020983373937377
-0.00240912,-0.1011665213014352,-1.018647279556264
-0.00240849,-0.1014983939502292,-0.9749289418525902
-0.00240786,-0.1018302665990235,-0.9525691813476278
-0.00240723,-0.1018302665990235,-0.9759301251587525
-0.0024066,-0.1018302665990235,-0.9555727312662021
-0.00240597,-0.1018302665990235,-0.9612461033346205
-0.00240534,-0.1028258845454055,-0.9632484699470024
-0.00240471,-0.102825884545406,-0.9392200705984084
-0.00240408,-0.102825884545406,-0.9529029091163582
-0.00240345,-0.103489629842994,-0.9282070542303135
-0.00240282,-0.1038215024917885,-0.8971703717383671
-0.00240219,-0.1044852477893768,-0.9175277656309211
-0.00240156,-0.1044852477893768,-0.9051798381878988
-0.00240093,-0.1038215024917885,-0.9131893046374304
-0.0024003,-0.1041533751405825,-0.9165265823247337
-0.00239967,-0.104817120438171,-0.9262046876179194
-0.00239904,-0.1051489930869651,-0.9315443319176072
-0.00239841,-0.1054808657357591,-0.9262046876179219
-0.00239778,-0.1061446110333476,-0.8891609052888354
-0.00239715,-0.1061446110333478,-0.8965029162009015
-0.00239652,-0.1064764836821418,-0.8861573553702611
-0.00239589,-0.1068083563309359,-0.8657999614777014
-0.00239526,-0.1064764836821419,-0.8561218561845059
-0.00239463,-0.1068083563309359,-0.8310922735297309
-0.002394,-0.1071402289797301,-0.8834875332204172
-0.00239337,-0.1078039742773181,-0.9148579434810686
-0.00239274,-0.1078039742773184,-0.8644650504027795
-0.00239211,-0.1081358469261126,-0.8504484841161147
-0.00239148,-0.1081358469261126,-0.8848224442953392
-0.00239085,-0.1084677195749067,-0.9158591267872743
-0.00239022,-0.1087995922237007,-0.8674686003213724
-0.00238959,-0.1084677195749067,-0.9081833881064731
-0.00238896,-0.1091314648724951,-0.9141904879436219
-0.00238833,-0.109463337521289,-0.9288745097677567
-0.0023877,-0.1097952101700834,-0.9502330869665144
-0.00238707,-0.1097952101700838,-0.9862756859893931
-0.00238644,-0.1107908281164658,-0.9559064590349327
-0.00238581,-0.1104589554676717,-0.9655845643281167
-0.00238518,-0.110458955467672,-0.9655845643281122
-0.00238455,-0.11112270076526,-0.9559064590349327
-0.00238392,-0.11112270076526,-1.013307635256576
-0.00238329,-0.112118318711642,-0.9912816025203741
-0.00238266,-0.1127820640092308,-0.9876105970643289
-0.00238203,-0.1124501913604367,-1.053021239735504
-0.0023814,-0.1127820640092308,-1.037002306836441
-0.00238077,-0.1134458093068191,-1.054689878579157
-0.00238014,-0.1134458093068194,-1.059028339572602
-0.00237951,-0.1141095546044074,-0.9482307203541315
-0.00237888,-0.1134458093068191,-1.032663845842944
-0.00237825,-0.1141095546044071,-1.050351417585652
-0.00237762,-0.1141095546044074,-1.073712361396794
-0.00237699,-0.1144414272532016,-1.036001123530249
-0.00237636,-0.1147732999019956,-1.023653196087227
-0.00237573,-0.1144414272532016,-1.049350234279469
-0.0023751,-0.1147732999019958,-1.018981007325002
-0.00237447,-0.1147732999019958,-1.036001123530249
-0.00237384,-0.1147732999019958,-1.017312368481342
-0.00237321,-0.1147732999019958,-1.020649646168645
-0.00237258,-0.1151051725507899,-1.039004673448824
-0.00237195,-0.1151051725507899,-1.063366800566149
-0.00237132,-0.115768917848378,-1.045011773285981
-0.00237069,-0.1151051725507899,-1.072043722553142
-0.00237006,-0.1164326631459666,-1.101411766201416
-0.00236943,-0.1164326631459666,-1.083390466689978
-0.0023688,-0.1164326631459666,-1.045345501054703
-0.00236817,-0.1164326631459666,-1.059028339572647
-0.00236754,-0.1167645357947607,-1.087395199914744
-0.00236691,-0.1177601537411432,-1.087395199914744
-0.00236628,-0.1180920263899372,-1.082389283383789
-0.00236565,-0.1184238990387315,-1.094737210826815
-0.00236502,-0.1187557716875258,-1.093402299751894
-0.00236439,-0.1190876443363199,-1.095070938595545
-0.00236376,-0.1187557716875257,-1.157144303579416
-0.00236313,-0.119751389633908,-1.137454365224333
-0.0023625,-0.119419516985114,-1.172495780941018
-0.00236187,-0.1197513896339082,-1.136786909686856
-0.00236124,-0.1204151349314962,-1.174164419784653
-0.00236061,-0.1204151349314965,-1.211875657651215
-0.00235998,-0.1214107528778788,-1.179170336315638
-0.00235935,-0.1210788802290848,-1.201863824589301
-0.00235872,-0.1217426255266731,-1.154474481429572
-0.00235809,-0.1217426255266731,-1.152472114817197
-0.00235746,-0.1217426255266731,-1.170827142097365
-0.00235683,-0.1220744981754673,-1.117096971331757
-0.0023562,-0.1210788802290853,-1.124772710012555
-0.00235557,-0.1217426255266731,-1.138789276299239
-0.00235494,-0.1220744981754675,-1.168491047716255
-0.00235431,-0.1224063708242615,-1.174498147553401
-0.00235368,-0.1227382434730556,-1.197859091364535
-0.00235305,-0.1230701161218498,-1.166488681103873
-0.00235242,-0.1230701161218498,-1.174831875322131
-0.00235179,-0.1234019887706439,-1.15347329812338
-0.00235116,-0.1234019887706439,-1.108420049344785
-0.00235053,-0.1227382434730556,-1.166154953335139
-0.0023499,-0.1240657340682323,-1.1668224088726
-0.00234927,-0.1243976067170264,-1.266940739491746
